0	351.89
1	352.34
2	352.89
3	353.19
4	353.19
5	352.89
6	352.34
7	351.89

8	352.38
9	352.87
10	353.45
11	353.78
12	353.78
13	353.45
14	352.87
15	352.38

16	353.03
17	353.55
18	354.19
19	354.54
20	354.54
21	354.19
22	353.55
23	353.03

24	353.61
25	354.16
26	354.83
27	355.20
28	355.20
29	354.83
30	354.16
31	353.61

32	354.22
33	354.77
34	355.44
35	355.82
36	355.82
37	355.44
38	354.77
39	354.22

40	354.74
41	355.28
42	355.94
43	356.31
44	356.31
45	355.94
46	355.28
47	354.74

48	355.71
49	356.22
50	356.84
51	357.18
52	357.18
53	356.84
54	356.22
55	355.71

56	355.84
57	356.32
58	356.91
59	357.24
60	357.24
61	356.91
62	356.32
63	355.84

